CARD NAME,QTY,SET,LOW (ea.),MID (ea.),HI (ea.),LOW,MID,HI
Gelatinous Genesis,4,ROE,0.32,0.61,1.84,1.28,2.44,7.36
Gerrard's Command,2,PLS,0.04,0.16,0.80,0.08,0.32,1.6
Giant Spider,1,3ED,0.03,0.16,0.80,0.03,0.16,0.8
Golgari Rotwurm,1,RAV,0.04,0.17,0.85,0.04,0.17,0.85
Grove of the Guardian,1,RTR,0.14,0.27,1.35,0.14,0.27,1.35
Grove of the Guardian,1,RTR,0.14,0.27,1.35,0.14,0.27,1.35
Hill Giant,2,9ED,0.04,0.16,0.80,0.08,0.32,1.6
Holy Strength,2,3ED
Honden of Life's Web,1,CHK,0.08,0.23,1.08,0.08,0.23,1.08
Honden of Night's Reach,1,CHK,0.08,0.24,0.98,0.08,0.24,0.98
Honden of Seeing Winds,1,CHK,0.22,0.42,2.00,0.22,0.42,2.0
Hurricane,1,3ED,0.08,0.20,0.94,0.08,0.2,0.94
Hymn to Tourach,3,FEM,0.50,1.28,3.05,1.5,3.84,9.149999999999999
Island,3,BTD,0.35,0.71,1.49,1.0499999999999998,2.13,4.47
Jace's Erasure,1,M12,0.05,0.19,0.95,0.05,0.19,0.95
Jwar Isle Avenger,1,OGW,0.03,0.16,0.80,0.03,0.16,0.8
Jwar Isle Refuge,1,ZEN,0.18,0.38,0.92,0.18,0.38,0.92
Jwar Isle Refuge,3,C13,0.24,0.40,1.48,0.72,1.2000000000000002,4.4399999999999995
"Kamahl, Pit Fighter",1,10E,0.15,0.37,1.66,0.15,0.37,1.66
Kazandu Refuge,3,ZEN,0.05,0.24,1.08,0.15000000000000002,0.72,3.24
Kazandu Refuge,1,C13,0.15,0.23,1.00,0.15,0.23,1.0
Land Aid '04,1,UNH,0.09,0.17,0.72,0.09,0.17,0.72
Llanowar Reborn,4,C15,0.08,0.25,1.00,0.32,1.0,4.0
Lone Wolf,1,7ED,0.05,0.19,0.94,0.05,0.19,0.94
Mage's Guile,2,ONS,0.05,0.15,0.75,0.1,0.3,1.5
Memory Erosion,4,CMD,1.75,2.17,3.29,7.0,8.68,13.16
Millstone,2,M14,0.04,0.18,0.90,0.08,0.36,1.8
Mind Rot,1,DTK,0.03,0.14,0.70,0.03,0.14,0.7
Mitotic Slime,4,M11,0.18,0.33,1.58,0.72,1.32,6.32
Mogg War Marshal,2,EVG,0.79,1.12,2.74,1.58,2.24,5.48
"Molimo, Maro-Sorcerer",2,10E,0.17,0.47,1.68,0.34,0.94,3.36
Monkey Monkey Monkey,1,UNH,0.08,0.16,0.80,0.08,0.16,0.8
Mountain,14,MMQ,0.10,0.20,0.37,1.4000000000000001,2.8000000000000003,5.18
Narcolepsy,2,ROE,0.05,0.15,0.75,0.1,0.3,1.5
Nature's Lore,2,5ED,0.36,0.78,2.57,0.72,1.56,5.14
Nature's Lore,2,ICE,0.42,0.79,2.06,0.84,1.58,4.12
Nissa's Pilgrimage,4,ORI,0.05,0.22,0.89,0.2,0.88,3.56
Ooze Flux,4,GTC,0.10,0.32,1.60,0.4,1.28,6.4
Ooze Garden,4,ALA,0.15,0.35,1.64,0.6,1.4,6.56
Ouphe Vandals,1,5DN,0.04,0.19,0.95,0.04,0.19,0.95
Panther Warriors,1,6ED,0.04,0.17,0.69,0.04,0.17,0.69
Parallel Lives,4,ISD,5.00,7.54,10.83,20.0,30.16,43.32
Phantom Wings,3,BOK,0.05,0.17,0.85,0.15000000000000002,0.51,2.55
Plains,10,MMQ,0.16,0.21,0.37,1.6,2.1,3.7
Power Leak,1,4ED,0.05,0.17,0.85,0.05,0.17,0.85
Power Sink,1,5ED,0.08,0.22,0.74,0.08,0.22,0.74
Power Sink,1,4ED,0.05,0.18,0.90,0.05,0.18,0.9
Power Sink,1,3ED,0.05,0.17,0.85,0.05,0.17,0.85
Predator Ooze,4,DKA,0.99,2.43,4.03,3.96,9.72,16.12
R&D's Secret Lair,1,UNH,0.49,0.99,1.79,0.49,0.99,1.79
Rhystic Lightning,1,PCY,0.05,0.16,0.80,0.05,0.16,0.8
Riptide Survivor,1,C14,0.05,0.17,0.85,0.05,0.17,0.85
Scavenger Folk,1,DRK,0.04,0.16,0.80,0.04,0.16,0.8
Seal of Primordium,1,PLC,0.18,0.30,1.04,0.18,0.3,1.04
Silver Drake,2,PLS,0.04,0.17,0.85,0.08,0.34,1.7
Smite,1,STH,0.05,0.17,0.85,0.05,0.17,0.85
Sphinx's Tutelage,4,ORI,1.25,3.21,4.78,5.0,12.84,19.12
Staunch-Hearted Warrior,1,THS,0.03,0.14,0.70,0.03,0.14,0.7
Staunch-Hearted Warrior,2,THS,0.03,0.14,0.70,0.06,0.28,1.4
Swamp,1,BFZ
Tawnos's Wand,1,4ED,0.08,0.21,0.98,0.08,0.21,0.98
Tel-Jilad Outrider,1,DST,0.03,0.15,0.75,0.03,0.15,0.75
Thallid Shell-Dweller,1,TSP,0.05,0.18,0.90,0.05,0.18,0.9
Thassa's Devourer,1,JOU,0.03,0.15,0.75,0.03,0.15,0.75
Thieving Magpie,2,10E,0.06,0.22,0.98,0.12,0.44,1.96
Trap Runner,2,MMQ,0.05,0.20,0.98,0.1,0.4,1.96
Trapjaw Kelpie,4,EVE,0.03,0.15,0.75,0.12,0.6,3.0
"Ulamog, the Ceaseless Hunger",1,BFZ,12.00,16.13,50.00,12.0,16.13,50.0
Unholy Hunger,1,ORI,0.03,0.15,0.75,0.03,0.15,0.75
Unholy Strength,1,10E,0.05,0.16,0.80,0.05,0.16,0.8
Vampire Bats,1,4ED,0.05,0.16,0.80,0.05,0.16,0.8
Vessel of Malignity,1,SOI,0.02,0.11,0.55,0.02,0.11,0.55
Vessel of Nascency,2,SOI,0.04,0.12,0.60,0.08,0.24,1.2
Vessel of Paramnesia,2,SOI,0.02,0.12,0.60,0.04,0.24,1.2
Vessel of Volatility,2,SOI,0.05,0.12,0.60,0.1,0.24,1.2
Viashino Bey,1,ULG,0.05,0.17,0.85,0.05,0.17,0.85
Volrath's Curse,4,TMP,0.04,0.16,0.80,0.16,0.64,3.2
Wall of Roots,2,MIR,0.49,1.14,2.87,0.98,2.28,5.74
Wastes,15,OGW,0.50,0.80,1.55,7.5,12.0,23.25
TOTAL,301,,,,,131.89,236.66,564.21
